City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sompeta,IN,2022-05-01 01:16:16,18.9333,84.6,82.63,79,6,11.9
59,Iqaluit,CA,2022-05-01 01:16:17,63.7506,-68.5145,19.13,79,20,0.0
60,Sangueya,GN,2022-05-01 01:16:18,10.7,-14.3667,76.75,70,79,3.47
61,Taoudenni,ML,2022-05-01 01:16:18,22.6783,-3.9836,77.83,22,0,16.55
62,Bandarbeyla,SO,2022-05-01 01:16:19,9.4942,50.8122,82.47,79,81,2.44
63,Bengkulu,ID,2022-05-01 01:16:20,-3.8004,102.2655,75.6,93,100,12.77
64,Tres Arroyos,AR,2022-05-01 01:16:20,-38.3739,-60.2798,45.12,60,17,8.88
65,Bredasdorp,ZA,2022-05-01 01:16:21,-34.5322,20.0403,54.3,91,6,5.37
66,Tiznit,MA,2022-05-01 01:16:22,29.5833,-9.5,67.14,35,0,2.35
67,Maruim,BR,2022-05-01 01:16:22,-10.7375,-37.0817,80.56,86,100,3.69
68,Codrington,AU,2022-05-01 01:16:23,-38.2667,141.9667,64.33,65,97,14.47
69,Abnub,EG,2022-05-01 01:16:24,27.2696,31.1511,72.43,36,0,10.31
70,Castro,BR,2022-05-01 01:16:24,-24.7911,-50.0119,58.21,98,51,4.59
71,Garissa,KE,2022-05-01 01:16:25,-0.4536,39.6401,78.28,79,79,15.61
72,Ancud,CL,2022-05-01 01:16:25,-41.8697,-73.8203,50.54,89,100,6.11
73,Pitimbu,BR,2022-05-01 01:16:26,-7.4706,-34.8086,77.59,73,99,12.15
74,Shahreza,IR,2022-05-01 01:16:27,32.0339,51.8794,53.69,67,0,3.33
75,Diego De Almagro,CL,2022-05-01 01:11:29,-26.3667,-70.05,59.94,55,4,1.12
76,Saint-Augustin,CA,2022-05-01 01:16:27,51.226,-58.6502,38.62,90,100,16.28
77,Mahebourg,MU,2022-05-01 01:16:28,-20.4081,57.7,75.49,88,40,8.05
78,Causapscal,CA,2022-05-01 01:16:29,48.3542,-67.227,37.35,98,100,9.57
79,Hualmay,PE,2022-05-01 01:16:29,-11.0964,-77.6139,65.95,87,58,9.17
80,Vardo,NO,2022-05-01 01:16:30,70.3705,31.1107,28.85,72,99,17.47
81,Ribeira Grande,PT,2022-05-01 01:16:30,38.5167,-28.7,61.86,86,8,3.27
82,Ishurdi,BD,2022-05-01 01:16:31,24.1333,89.0833,81.37,81,64,7.65
83,Beloha,MG,2022-05-01 01:16:31,-25.1667,45.05,65.86,86,0,7.85
84,Quatre Cocos,MU,2022-05-01 01:16:32,-20.2078,57.7625,75.31,84,32,9.98
85,Kidal,ML,2022-05-01 01:16:33,18.4411,1.4078,84.52,10,6,12.3
86,Sistranda,NO,2022-05-01 01:16:33,63.7256,8.834,42.76,82,78,16.44
87,Praia Da Vitoria,PT,2022-05-01 01:16:34,38.7333,-27.0667,59.76,94,20,4.27
88,Sinnamary,GF,2022-05-01 01:16:34,5.3833,-52.95,78.15,84,44,9.13
89,Carutapera,BR,2022-05-01 01:17:35,-1.195,-46.02,75.04,94,85,3.78
90,Narsaq,GL,2022-05-01 01:17:36,60.9167,-46.05,44.82,72,19,0.65
91,Awbari,LY,2022-05-01 01:17:36,26.5921,12.7805,75.92,14,100,13.44
92,Leshukonskoye,RU,2022-05-01 01:17:36,64.8989,45.7622,18.77,96,22,3.36
93,Darjiling,IN,2022-05-01 01:17:37,27.0333,88.2667,52.3,84,100,3.74
94,Osypenko,UA,2022-05-01 01:17:38,46.9136,36.8253,52.32,58,95,13.22
95,Knappskog,NO,2022-05-01 01:17:38,60.3819,5.0558,41.05,87,0,6.91
96,Comarapa,BO,2022-05-01 01:17:39,-17.9,-64.4833,53.26,97,38,3.91
97,Kommunar,RU,2022-05-01 01:17:39,59.6206,30.39,38.73,78,92,6.58
98,San Rafael,AR,2022-05-01 01:15:36,-34.6177,-68.3301,53.8,49,0,2.86
99,Korla,CN,2022-05-01 01:17:40,41.7597,86.1469,57.88,24,6,5.77
100,Shache,CN,2022-05-01 01:17:41,38.4167,77.2406,59.5,15,12,5.82
101,Bhawana,PK,2022-05-01 01:17:41,31.5692,72.649,85.06,24,0,8.08
102,Kovylkino,RU,2022-05-01 01:17:42,54.0388,43.9139,30.92,75,7,5.55
103,Xuddur,SO,2022-05-01 01:17:42,4.1213,43.8894,74.41,82,100,5.79
104,Kondinskoye,RU,2022-05-01 01:17:43,59.6481,67.41,32.83,59,14,6.02
105,Doka,SD,2022-05-01 01:17:44,13.5167,35.7667,87.24,16,36,11.88
106,Cayenne,GF,2022-05-01 01:17:44,4.9333,-52.3333,82.09,4,20,5.99
107,Ovruch,UA,2022-05-01 01:17:45,51.3246,28.8035,41.25,78,89,3.76
108,Miandrivazo,MG,2022-05-01 01:17:45,-19.5167,45.4667,70.29,88,0,2.24
109,Victoria,HK,2022-05-01 01:12:46,22.2855,114.1577,70.25,90,100,18.99
110,Sioux Lookout,CA,2022-05-01 01:13:46,50.1001,-91.917,39.29,89,100,12.91
111,Takoradi,GH,2022-05-01 01:13:25,4.8845,-1.7554,80.04,84,23,5.99
112,Villingen-Schwenningen,DE,2022-05-01 01:17:46,48.0667,8.45,41.81,65,6,0.51
113,Meulaboh,ID,2022-05-01 01:17:46,4.1363,96.1285,79.88,85,100,2.71
114,Trogir,HR,2022-05-01 01:17:47,43.5125,16.2517,57.88,66,40,3.44
115,Palasa,IN,2022-05-01 01:17:47,18.7667,84.4167,81.34,86,8,9.17
116,Kamenka,RU,2022-05-01 01:17:48,51.3223,42.7678,37.2,70,8,7.49
117,Leningradskiy,RU,2022-05-01 01:17:48,69.3833,178.4167,15.85,82,53,4.63
118,Ouahigouya,BF,2022-05-01 01:17:49,13.5828,-2.4216,90.59,30,74,7.56
119,Ilulissat,GL,2022-05-01 01:17:50,69.2167,-51.1,17.62,49,5,0.0
120,Bloemfontein,ZA,2022-05-01 01:17:50,-29.1211,26.214,38.68,87,0,0.0
121,Disna,BY,2022-05-01 01:17:51,55.568,28.1971,33.94,67,33,2.13
122,Upernavik,GL,2022-05-01 01:17:51,72.7868,-56.1549,3.45,75,7,6.2
123,Biu,NG,2022-05-01 01:17:52,10.6129,12.1946,78.66,53,100,5.77
124,Cidreira,BR,2022-05-01 01:17:52,-30.1811,-50.2056,64.9,85,100,7.05
125,Skjervoy,NO,2022-05-01 01:17:53,70.0311,20.9714,28.4,79,100,15.43
126,El Cope,PA,2022-05-01 01:17:54,8.6167,-80.6,70.61,93,100,0.87
127,Mar Del Plata,AR,2022-05-01 01:17:54,-38.0023,-57.5575,49.87,75,0,5.99
128,Itarema,BR,2022-05-01 01:17:55,-2.9248,-39.9167,76.95,87,84,7.18
129,Kavaratti,IN,2022-05-01 01:17:55,10.5669,72.642,85.14,71,77,12.66
130,Cap Malheureux,MU,2022-05-01 01:17:56,-19.9842,57.6142,73.47,86,15,1.01
131,Bathsheba,BB,2022-05-01 01:18:57,13.2167,-59.5167,79.41,83,40,16.11
132,Salalah,OM,2022-05-01 01:18:57,17.0151,54.0924,84.29,84,75,3.44
133,Ostrovnoy,RU,2022-05-01 01:18:58,68.0531,39.5131,14.23,92,84,9.8
134,Agadez,NE,2022-05-01 01:18:58,19.75,10.25,84.49,8,76,7.45
135,Barentu,ER,2022-05-01 01:18:59,15.1139,37.5928,76.69,31,6,6.8
136,Dogondoutchi,NE,2022-05-01 01:19:00,13.6393,4.0287,89.76,12,100,5.17
137,Burgos,ES,2022-05-01 01:19:00,42.3394,-3.7079,48.61,93,75,8.05
138,Rawson,AR,2022-05-01 01:19:01,-43.3002,-65.1023,48.54,61,7,17.85
139,Olinda,BR,2022-05-01 01:19:01,-8.0089,-34.8553,82.13,69,75,9.22
140,Caucaia,BR,2022-05-01 01:19:02,-3.7361,-38.6531,80.55,79,40,6.91
141,Constitucion,CL,2022-05-01 01:19:02,-35.3333,-72.4167,52.16,67,0,7.7
142,Bambous Virieux,MU,2022-05-01 01:19:03,-20.3428,57.7575,75.45,88,40,8.05
143,Jacksonville,US,2022-05-01 01:18:08,30.3322,-81.6556,73.4,73,40,9.22
144,Canto Do Buriti,BR,2022-05-01 01:19:03,-8.11,-42.9444,73.08,58,100,3.4
145,Pavlikeni,BG,2022-05-01 01:19:04,43.2428,25.3219,45.68,88,0,2.21
146,Hithadhoo,MV,2022-05-01 01:16:52,-0.6,73.0833,84.81,69,100,12.3
147,Cardoso,BR,2022-05-01 01:19:04,-20.0819,-49.9142,75.85,47,62,3.69
148,Carballo,ES,2022-05-01 01:19:05,43.213,-8.691,55.76,90,41,1.61
149,Derzhavinsk,KZ,2022-05-01 01:19:06,51.1,66.3167,55.02,71,100,9.8
150,Salto,UY,2022-05-01 01:19:06,-31.3833,-57.9667,57.87,80,87,7.0
151,Saint-Pierre,RE,2022-05-01 01:19:07,-21.3393,55.4781,74.91,80,0,4.61
152,Terre-De-Bas,GP,2022-05-01 01:19:07,15.8501,-61.6442,78.31,81,100,14.79
153,Nzega,RW,2022-05-01 01:19:08,-2.479,29.5564,54.12,96,46,3.51
154,Margate,GB,2022-05-01 01:19:09,51.3813,1.3862,46.69,78,100,1.01
155,Maniitsoq,GL,2022-05-01 01:19:09,65.4167,-52.9,21.31,75,3,11.48
156,Puerto Leguizamo,CO,2022-05-01 01:19:10,-0.1934,-74.7819,69.44,99,95,2.62
157,Ugoofaaru,MV,2022-05-01 01:19:11,5.6667,73.0,84.47,74,100,14.43
158,Proletarskiy,RU,2022-05-01 01:19:11,50.7914,35.7731,38.55,87,9,7.0
159,Pangnirtung,CA,2022-05-01 01:19:12,66.1451,-65.7125,21.92,95,99,3.98
160,Sao Felix Do Xingu,BR,2022-05-01 01:19:12,-6.6447,-51.995,71.31,97,22,1.83
161,Comodoro Rivadavia,AR,2022-05-01 01:14:15,-45.8667,-67.5,42.66,75,0,6.91
162,Sault Sainte Marie,CA,2022-05-01 01:17:27,46.5168,-84.3333,52.36,33,0,11.5
163,Tasiilaq,GL,2022-05-01 01:19:13,65.6145,-37.6368,32.16,60,21,4.03
164,Pervomayskoye,RU,2022-05-01 01:19:14,43.919,46.7102,53.87,92,5,7.02
165,Kem,RU,2022-05-01 01:19:14,64.9555,34.5793,25.99,84,22,7.0
166,Ciudad Guayana,VE,2022-05-01 01:14:53,8.3533,-62.6528,81.52,81,99,8.34
167,Cassilandia,BR,2022-05-01 01:15:24,-19.1133,-51.7342,70.92,59,0,0.76
168,Olafsvik,IS,2022-05-01 01:19:15,64.8945,-23.7142,44.06,84,100,15.3
169,Marzuq,YE,2022-05-01 01:19:16,14.4,46.4667,73.83,57,8,3.24
170,Manaure,CO,2022-05-01 01:16:09,11.7751,-72.4445,82.99,79,100,9.4
171,Ladario,BR,2022-05-01 01:19:16,-19.0047,-57.6017,78.26,54,34,1.68
172,Imbituba,BR,2022-05-01 01:19:17,-28.24,-48.6703,67.86,93,100,11.12
173,Gat,IL,2022-05-01 01:19:18,31.61,34.7642,65.8,100,79,12.06
174,Matay,EG,2022-05-01 01:19:18,28.419,30.7792,68.38,51,0,9.48
175,Turkistan,KZ,2022-05-01 01:19:19,43.0,68.0,72.55,22,100,5.48
176,Meybod,IR,2022-05-01 01:19:19,32.2501,54.0166,62.62,57,95,1.07
177,Oshakati,,2022-05-01 01:19:20,-17.7833,15.6833,62.62,34,100,5.46
178,Mollendo,PE,2022-05-01 01:19:20,-17.0231,-72.0147,64.8,84,43,5.7
179,Dingle,PH,2022-05-01 01:20:21,10.9995,122.6711,84.18,71,100,9.33
180,Bereda,ES,2022-05-01 01:20:22,43.2686,-7.5406,51.15,100,2,0.96
181,Luanda,AO,2022-05-01 01:18:50,-8.8368,13.2343,76.17,88,100,9.46
182,Luderitz,,2022-05-01 01:20:22,-26.6481,15.1594,61.56,44,1,9.24
183,Havelock,US,2022-05-01 01:20:23,34.8791,-76.9013,69.78,85,75,5.75
184,Killybegs,IE,2022-05-01 01:20:24,54.6333,-8.45,50.2,91,100,14.85
185,Haradok,BY,2022-05-01 01:20:24,55.4624,29.9816,37.51,79,65,3.8
186,Kibre Mengist,ET,2022-05-01 01:20:25,5.8833,38.9833,56.52,99,78,2.82
187,Dharampur,IN,2022-05-01 01:20:25,20.5333,73.1833,79.72,72,4,5.35
188,Sisimiut,GL,2022-05-01 01:20:26,66.9395,-53.6735,17.73,70,17,7.11
189,Suruc,TR,2022-05-01 01:20:28,36.9761,38.425,60.28,85,100,11.99
190,Nouna,BF,2022-05-01 01:20:28,12.7333,-3.8667,93.52,27,89,9.33
191,Montlucon,FR,2022-05-01 01:20:29,46.3333,2.6,38.7,94,100,1.23
192,Eyl,SO,2022-05-01 01:20:29,7.9803,49.8164,82.72,77,58,2.57
193,Minab,IR,2022-05-01 01:20:30,27.1467,57.0801,79.12,73,0,2.3
194,Berlevag,NO,2022-05-01 01:20:30,70.8578,29.0864,22.8,69,100,20.47
195,Hindoria,IN,2022-05-01 01:20:31,23.9,79.5667,87.4,23,0,3.24
196,Souillac,MU,2022-05-01 01:20:32,-20.5167,57.5167,75.58,88,40,8.05
197,San Cristobal,VE,2022-05-01 01:20:32,7.7669,-72.225,73.58,98,100,5.12
198,Saint Anthony,US,2022-05-01 01:20:33,45.0205,-93.218,50.67,92,100,10.36
199,Aconibe,GQ,2022-05-01 01:20:33,1.2968,10.9369,68.22,95,83,1.59
200,Laguna,US,2022-05-01 01:20:34,38.421,-121.4238,78.78,50,0,19.57
201,Ponta Delgada,PT,2022-05-01 01:20:34,37.7333,-25.6667,62.51,82,20,3.44
202,Raudeberg,NO,2022-05-01 01:20:35,61.9875,5.1352,39.87,69,14,1.92
203,Klaksvik,FO,2022-05-01 01:20:36,62.2266,-6.589,45.52,80,95,5.5
204,Rio Grande,BR,2022-05-01 01:20:36,-32.035,-52.0986,58.95,75,100,2.55
205,Hobyo,SO,2022-05-01 01:20:37,5.3505,48.5268,83.97,73,70,10.33
206,Vuktyl,RU,2022-05-01 01:20:37,63.8567,57.3094,25.93,95,100,2.95
207,Mehamn,NO,2022-05-01 01:20:38,71.0357,27.8492,29.16,65,100,18.19
208,Beyneu,KZ,2022-05-01 01:20:39,45.3167,55.2,61.77,69,23,7.54
209,Loding,NO,2022-05-01 01:20:39,67.3,14.75,35.51,84,75,8.05
210,Qasigiannguit,GL,2022-05-01 01:20:40,68.8193,-51.1922,17.85,85,2,6.24
211,Acari,PE,2022-05-01 01:20:40,-15.4311,-74.6158,70.34,75,44,3.22
212,Ghanzi,BW,2022-05-01 01:20:41,-21.5667,21.7833,63.75,49,47,9.06
213,Swellendam,ZA,2022-05-01 01:20:41,-34.0226,20.4417,54.27,87,11,2.04
214,Shyroke,UA,2022-05-01 01:20:42,47.6917,33.2571,45.93,71,12,6.04
215,Mega,ET,2022-05-01 01:20:42,4.05,38.3,58.96,90,75,4.07
216,Sao Jose Da Coroa Grande,BR,2022-05-01 01:20:43,-8.8978,-35.1478,77.36,80,100,9.35
217,Axim,GH,2022-05-01 01:20:44,4.8699,-2.2405,79.65,85,43,5.57
218,Odoreu,RO,2022-05-01 01:20:44,47.8,23.0,48.85,100,20,5.75
219,Rocha,UY,2022-05-01 01:20:45,-34.4833,-54.3333,54.39,76,100,4.27
220,Khategaon,IN,2022-05-01 01:20:45,22.6,76.9167,85.68,38,2,6.31
221,Huarmey,PE,2022-05-01 01:20:46,-10.0681,-78.1522,66.63,88,58,8.95
222,Liliani,PK,2022-05-01 01:20:46,32.2065,72.9537,82.18,28,2,7.74
223,Coquimbo,CL,2022-05-01 01:20:26,-29.9533,-71.3436,55.13,94,0,0.0
224,Suez,EG,2022-05-01 01:16:37,29.9737,32.5263,64.13,62,6,4.5
225,Soyo,AO,2022-05-01 01:20:47,-6.1349,12.3689,77.83,88,100,5.26
226,Faya,SA,2022-05-01 01:20:48,18.3851,42.4509,62.71,52,96,3.85
227,Santa Cruz De Tenerife,ES,2022-05-01 01:18:26,28.4682,-16.2546,70.72,87,75,10.36
228,Kirundo,BI,2022-05-01 01:21:48,-2.5833,30.1667,58.62,97,38,2.64
229,Hagere Selam,ET,2022-05-01 01:21:49,6.4833,38.5167,47.39,92,100,3.6
230,Dwarka,IN,2022-05-01 01:21:49,22.2394,68.9678,83.12,85,4,15.75
