City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
618,Kashan,IR,63.99,Rain,33.9831,51.4364,Manouchehri Traditional House
620,Pimentel,PE,70.09,Clear,-6.8367,-79.9342,Hotel Puerto del Sol
622,Mosquera,CO,66.29,Clouds,4.7059,-74.2302,Hotel SJ
624,Anse-Bertrand,GP,80.42,Clouds,16.4721,-61.5078,Le Domharry
628,Binga,ZW,68.45,Clouds,-17.6203,27.3414,Lakeview Inn Binga
629,Dakoro,NE,87.58,Clear,14.5106,6.765,Shagon mai liverpool
630,Mucuri,BR,77.07,Clear,-18.0864,-39.5508,La Bodeguita Pousada
631,Pout,SN,70.56,Clear,14.7739,-17.0603,chez sada niang
632,Patos,BR,79.77,Clouds,-7.0244,-37.28,Hotel JK
636,Lodwar,KE,83.62,Clouds,3.1191,35.5973,Solmar Gracious Hotel
637,Pilar Do Sul,BR,65.7,Clouds,-23.8131,-47.7164,HOTEL CENTRAL
638,Bangangte,CM,63.41,Rain,5.1409,10.5198,Hôtel Cristal Foua Ndigong
639,Tshela,CD,73.63,Rain,-4.9833,12.9333,Hotel Mirador
640,Pelotas,BR,60.82,Rain,-31.7719,-52.3425,Hotéis Jacques Georges Tower
641,Manadhoo,MV,84.94,Clouds,5.7667,73.3833,Bon Abri maldives
642,Mastic Beach,US,60.98,Clear,40.7668,-72.8521,Brushwood House by Smith Point Beach
643,Yanam,IN,78.69,Clouds,16.7333,82.2167,The Regency Hotel
645,Sao Jose Da Coroa Grande,BR,77.59,Clouds,-8.8978,-35.1478,Crôa Mares Hotel
648,Prieska,ZA,60.42,Clear,-29.6641,22.7474,Avenue GuestHouse
651,Bogo,PH,80.15,Clouds,11.0517,124.0055,Acrige Apartelle
654,Dubti,ET,87.91,Clear,11.7361,41.0853,degu Shiferaw
655,Marsh Harbour,BS,74.84,Clouds,26.5412,-77.0636,Abaco Beach Resort
656,Garowe,SO,81.9,Rain,8.4054,48.4845,Curubo Hotel
665,Pisco,PE,66.25,Clear,-13.7,-76.2167,Hotel San Isidro Oficial
668,Bud,US,62.62,Clouds,39.447,-86.1758,Ted McQuinn Trust
669,Haifa,IL,65.17,Clouds,32.8156,34.9892,Dan Panorama Haifa Hotel
670,Port Blair,IN,82.49,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
672,Linhares,BR,71.17,Clouds,-19.3911,-40.0722,Hotel Conceição
674,Ayagoz,KZ,63.28,Rain,47.9714,80.4392,ХАН
680,San Lorenzo,PY,70.74,Clouds,-25.3333,-57.5333,Canarias Hotel
683,Abong Mbang,CM,68.52,Clouds,3.9833,13.1833,Auberge Angle Sur
684,Amarante Do Maranhao,BR,76.91,Clouds,-5.5667,-46.7422,Hotéis Caçulinha
685,Hobyo,SO,84.54,Clouds,5.3505,48.5268,Iftin hotel hobyo
686,Guatire,VE,75.06,Clouds,10.4762,-66.5427,Parque Residencial Canaima I
688,Joao Camara,BR,75.63,Clouds,-5.5375,-35.8197,Pousada Miguel Teixeira
692,Mangrol,IN,81.99,Clear,21.1167,70.1167,Hotel The Royal Honours
695,Salinopolis,BR,77.67,Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
699,Portobelo,PA,82.74,Clouds,9.55,-79.65,Scuba Portobelo
702,Jaicos,BR,83.14,Clouds,-7.3592,-41.1378,Hotel Jaicós
703,Point Pedro,LK,84.51,Clouds,9.8167,80.2333,Gtr homes
704,Nyimba,ZM,63.36,Clear,-14.5566,30.8149,Dali Dali Lodge
706,Vallenar,CL,64.15,Clear,-28.5708,-70.7581,Humacao Bed & Breakfast
708,Gossaigaon,IN,72.46,Clouds,26.4481,89.989,Daory Dhaba
709,Karatau,KZ,62.76,Clouds,43.1667,70.4667,Baza Zika
711,Altamira,BR,74.01,Rain,-3.2033,-52.2064,Requinte Hotel
715,Sidrolandia,BR,76.89,Clouds,-20.9319,-54.9614,Agropet São Francisco
716,Tartus,SY,64.22,Clouds,34.889,35.8866,خيمة نبراس للاجئين
717,Puerto Leguizamo,CO,77.0,Clouds,-0.1934,-74.7819,la casona de juancho
718,Saint-Marc,HT,79.74,Clouds,19.1082,-72.6938,Maguana Hotel
719,Santiago,CL,62.85,Clear,-33.4569,-70.6483,Hotel Panamericano
